url,tipo,descripcion,servicios,datos_contacto,sede
,"         Fútbol 5, 6, 7, 8, 9, 10 y 11","        Jugadores: Fútbol 5, 6, 7, 8, 9, 10, 11  Sedes: Núñez, Belgrano, Palermo, Vicente López, Saavedra","      Vestuarios,    Bar / Restaurante,    Torneos,    Ayuda Médica ,    Cumpleaños,    Colegios,    Parrilla,    Estacionamiento,    Seguridad,    Escuelita de Fútbol,    "," Tel.: 4703-4651               Fútbol 5, 6, 7, 8, 9, 10 y 11              Jugadores: Fútbol 5, 6, 7, 8, 9, 10, 11  Sedes: Núñez, Belgrano, Palermo, Vicente López, Saavedra           Vestuarios,    Bar / Restaurante,    Torneos,    Ayuda Médica ,    Cumpleaños,    Colegios,    Parrilla,    Estacionamiento,    Seguridad,    Escuelita de Fútbol,               ver todas                          ",7 Sedes:  - Sede Vicente Lopez: Asturiano Futbol Club - Sede Saavedra: Club Platense - Sede Nuñez: El Portón de Nuñez - Sede Nuñez: Fútbol Urbano - Sede Nuñez: Obras Sanitarias - Sede Palermo: Palermo Fútbol - Sede Berriso: Tiro Federal 
,         Fútbol 6,,"      Vestuarios,    Torneos",,1 Sedes:  - Sede José C. Paz: El Campito 
,         Fútbol 5 y 6,,"      Vestuarios,    Bar / Restaurante,    Escuelita de Fútbol,    Cumpleaños,    Parrilla",,1 Sedes:  - Sede Lanús: El Mineirao 
,         Fútbol 5,"        Contacto: Diego  Torneos libres y empresariales, Categorias ""A"" y ""B"", importantes premios. Todos contra todos, con ascensos y promociones, copas de campeones, super copa.    ","      Vestuarios,    ,    Bar / Restaurante,    Gimnasio,    Torneos,    Escuelita de Fútbol,    Ayuda Médica ,    Cumpleaños,    Colegios", Tel.: 156466-9458/ 15 6267-1558 Web: www.cadeventos.es.tl,2 Sedes:  - Sede Villa Ballester: Complejo Winkel - Sede Vicente Lopez: Vicente Lopez Futbol 
,         Fútbol 11,,"      Vestuarios,    Bar / Restaurante,    Torneos,    Ayuda Médica ,    Parrilla,    Estacionamiento,    Seguridad", Tel.: 15-408-4747 / 15-566-1284 Web: http://www.prediolaseleccion.com.ar,1 Sedes:  - Sede La Plata: Predio La Selección 
,         Fútbol 5,,"      Vestuarios,    Bar / Restaurante,    Escuelita de Fútbol,    Cumpleaños,    Parrilla"," Tel.: 0341 15-623-4638               Fútbol 5            Vestuarios,    Bar / Restaurante,    Escuelita de Fútbol,    Cumpleaños,    Parrilla           ver todas                          ",1 Sedes:  - Sede Alberdi: Torneo Superi Futbol 5 
,         Fútbol 8,,"      Vestuarios,    Torneos,    Cumpleaños,    Parrilla,    Estacionamiento"," Tel.: 0299 4791669 -156339256               Fútbol 8            Vestuarios,    Torneos,    Cumpleaños,    Parrilla,    Estacionamiento           ver todas                          ",1 Sedes:  - Sede Neuquen: Complejo Deportivo La Chacra 
,"         Fútbol 5, 6, 7 y 8",        Torneos de Fútbol Femenino y Fútbol Masculino. Eventos Empresariales. Torneo Inter Empresas. Torneos Empresariales. Torneos de Hockey. Predios deportivos. Copa Premier F7 Nordelta,"      ,    Vestuarios,    Bar / Restaurante,    Torneos,    Escuelita de Fútbol,    Ayuda Médica ,    Cumpleaños,    Colegios,    Parrilla,    Estacionamiento", Tel.: 4793-0260 Web: www.irlandesfutbol.com.ar,3 Sedes:  - Sede San Isidro: San Isidro - Gaetan Gutierrez 857 - Sede Nordelta: Nordelta - Sede Beccar: Uruguay Sports Center 
,         Fútbol 8 y 11,        Contacto: Gonzalo,"      Vestuarios,    Bar / Restaurante,    Torneos,    Parrilla,    Estacionamiento", Tel.: (0351) - 155302001 Web: www.torneopremier.com.ar,1 Sedes:  - Sede Córdoba: Complejo Corazon de Maria 
,         Fútbol 9,,"      Vestuarios,    Bar / Restaurante,    Torneos,    Cumpleaños,    Parrilla,    Estacionamiento", Tel.: 0221- 154951585/155396981 Web: www.torneo9futbol.com.ar,1 Sedes:  - Sede La Plata: Las Canitas 
,         Fútbol 8,        El torneo se lleva a cabo en la localidad de Virasoro Corrientes,"      Vestuarios,    Bar / Restaurante,    Parrilla,    Estacionamiento"," Tel.: 03756-15459511               Fútbol 8              El torneo se lleva a cabo en la localidad de Virasoro Corrientes           Vestuarios,    Bar / Restaurante,    Parrilla,    Estacionamiento           ver todas                          ",1 Sedes:  - Sede Corrientes: Complejo Yacare Virasoro 
,         Fútbol 5,,"      Escuelita de Fútbol,    Cumpleaños", Tel.:  0299 - 154574557 / 4935927 Web: http://www.facebook.com/pages/El-Campito-Multiespacio/189032668789,1 Sedes:  - Sede Plottier: El Campito Multiespacio 
,         Fútbol 7,,"      Vestuarios,    Torneos,    Parrilla,    Estacionamiento", Tel.: 011 - 42514281  Web: https://www.facebook.com/pages/Ateneo-Bernal-Club/530341623678240,1 Sedes:  - Sede Bernal: Ateneo Bernal Club - ABC 
,         Fútbol 11,,"      Vestuarios,    Bar / Restaurante,    Torneos,    Ayuda Médica ,    Cumpleaños,    Parrilla,    Estacionamiento", Tel.: 0387-4817581 Web: www.complejoconfraternidad.com,1 Sedes:  - Sede Corrientes: Complejo Deportivo Confraternidad 
,         Fútbol 11,,"      Vestuarios,    Bar / Restaurante,    Torneos,    Escuelita de Fútbol,    Parrilla,    Estacionamiento,    Seguridad", Tel.: 03436 - 423536 Web: www.ligavictoriensedefutbol.com,1 Sedes:  - Sede Paraná: Sede Victoriense 
,         Fútbol 7,,"      Vestuarios,    Bar / Restaurante,    Torneos,    Escuelita de Fútbol,    Ayuda Médica ,    ,    Parrilla,    Cumpleaños,    Colegios",,1 Sedes:  - Sede Chacarita: Open Dorrego 
,         Fútbol 5,,, Tel.: 03822 - 15586222 Web: http://www.facebook.com/pages/Futbol-5-Los-Gorditos/221775944562472,1 Sedes:  - Sede La Rioja: Los Gorditos 
,         Fútbol 7,        Torneo Femenino los dias domingo de 15 a 21hs.  Torneo Masculino los dias lunes de 16 a 20Hs.,"      Vestuarios,    Bar / Restaurante,    Parrilla"," Tel.: (0341) 4706371               Fútbol 7              Torneo Femenino los dias domingo de 15 a 21hs.  Torneo Masculino los dias lunes de 16 a 20Hs.           Vestuarios,    Bar / Restaurante,    Parrilla           ver todas                          ",1 Sedes:  - Sede Rosario: Nueve de Area 
,         Fútbol 5 y 7,"        El mejor Torneo de Fútbol 5 Amateur Masculino y Femenino en Capital Federal!  Canchas increíbles, Árbitros Federados, Estadísticas y resultados online, Estacionamiento privado, muchas fotos y videos de los partidos, los mejores premios,sponsors sorteos y beneficios!","      Vestuarios,    Bar / Restaurante,    Torneos,    Ayuda Médica ,    Cumpleaños,    Parrilla,    Estacionamiento,    Seguridad,    Salón de Eventos"," Tel.: 11 5342 8205               Fútbol 5 y 7              El mejor Torneo de Fútbol 5 Amateur Masculino y Femenino en Capital Federal!  Canchas increíbles, Árbitros Federados, Estadísticas y resultados online, Estacionamiento privado, muchas fotos y videos de los partidos, los mejores premios,sponsors sorteos y beneficios!           Vestuarios,    Bar / Restaurante,    Torneos,    Ayuda Médica ,    Cumpleaños,    Parrilla,    Estacionamiento,    Seguridad,    Salón de Eventos           ver todas                          ","2 Sedes:  - Sede Palermo: Palermo Futbol - Sede Del Viso: Pilar, Del viso "
,         Fútbol 5,,, Tel.: 0298 15-356-0836 Web: http://www.facebook.com/pages/Calchetto-futbol-5/111718828884731,1 Sedes:  - Sede Adolfo Gonzáles Chaves: Calchetto futbol 5 
,         Fútbol 11,"        Realizamos torneos para estudiantes, gremios etc.","      Vestuarios,    Estacionamiento"," Tel.: 011 - 1563534555               Fútbol 11              Realizamos torneos para estudiantes, gremios etc.           Vestuarios,    Estacionamiento           ver todas                          ",1 Sedes:  - Sede Berazategui: Complejo Ranelagh 
,         Fútbol 5,"        Organizamos torneos de fútbol, Alternativas masculino y femenino.","      Bar / Restaurante,    Vestuarios,    Torneos,    Escuelita de Fútbol,    Ayuda Médica ,    Cumpleaños,    Colegios,    Parrilla,    ",,1 Sedes:  - Sede Nuñez: Fútbol Urbano 
,         Fútbol 5 y 9,,"      Vestuarios,    Bar / Restaurante,    Escuelita de Fútbol,    Cumpleaños,    Estacionamiento", Tel.: 0266-154369709 Web: www.facebook.com/Tiempo-Extra-Futbol,1 Sedes:  - Sede Villa Elena: Tiempo Extra Fútbol 
,         Fútbol 5 y 8,,"      Vestuarios,    Bar / Restaurante,    Torneos,    Escuelita de Fútbol,    Cumpleaños,    Parrilla,    Estacionamiento", Tel.: 0351-6644868 Web: www.facebook.com/canchas.larecta.5,1 Sedes:  - Sede Córdoba: Canchas La Recta 
,         Fútbol 5 y 6,,"      Vestuarios,    Torneos,    Escuelita de Fútbol,    Parrilla,    Estacionamiento", Tel.: 0261 - 155368373 / 155326088 Web: http://www.facebook.com/futbol.enlibertad,1 Sedes:  - Sede Godoy Cruz: Futbol En Libertad 
,         Fútbol 5 y 7,,"      Vestuarios,    Torneos", Tel.: 0299-4778719 / 154093650 Web: http://www.facebook.com/canchas.cipolletti,1 Sedes:  - Sede Cipolletti: Planeta Futbol 
,         Fútbol 11,,"      Torneos,    Estacionamiento", Tel.: 0381 - 154417054/156335440/156971499 Web: https://www.facebook.com/lomas.imbaud,1 Sedes:  - Sede Yerba Buena: Lomas Imbaud 
,         Fútbol 5,        2 torneos semestrales por año con división A y B con 20 equipos cada uno y una copa champions al final del año con primero y segundo de cada torneo la cual se juega en un solo día.,"      Vestuarios,    Bar / Restaurante,    Torneos,    Escuelita de Fútbol,    Ayuda Médica ,    Cumpleaños,    Parrilla"," Tel.: 1566722197               Fútbol 5              2 torneos semestrales por año con división A y B con 20 equipos cada uno y una copa champions al final del año con primero y segundo de cada torneo la cual se juega en un solo día.           Vestuarios,    Bar / Restaurante,    Torneos,    Escuelita de Fútbol,    Ayuda Médica ,    Cumpleaños,    Parrilla           ver todas                          ",1 Sedes:  - Sede San Cristobal: Nueva Generación 
,         Fútbol 5,,"      Vestuarios,    Bar / Restaurante,    Torneos,    Escuelita de Fútbol,    Cumpleaños",,1 Sedes:  - Sede Liniers: Centro Versailles 
,         Fútbol 5,,"      Vestuarios,    Bar / Restaurante,    Torneos,    Escuelita de Fútbol,    Ayuda Médica ,    Cumpleaños", Tel.: 0344615509106 Web: http://www.clubmanchego.com.ar,1 Sedes:  - Sede Gualeguaychu: Torneo Amistad Club Manchego 
,         Fútbol 5,        Torneos de futbol 5 en cesped sintetico,"      Vestuarios,    Cumpleaños,    Parrilla", Tel.: 0298-154342543 Web: http://www.facebook.com/profile.php?id=100002063212402,1 Sedes:  - Sede Gral. Roca: Torneo Campeones 
,         Fútbol 7 y 8,,"      Vestuarios,    Ayuda Médica ,    Cumpleaños,    Parrilla,    Estacionamiento"," Tel.: 0299-4964797               Fútbol 7 y 8            Vestuarios,    Ayuda Médica ,    Cumpleaños,    Parrilla,    Estacionamiento           ver todas                          ",1 Sedes:  - Sede Plaza Huincul: Club Silam 
,         Fútbol 7 y 11,,"      Vestuarios,    Bar / Restaurante,    Torneos,    Cumpleaños", Tel.: 15-3482-1215 / 15-5387-1818 Web: http://www.pasioneventos.com.ar,1 Sedes:  - Sede Del Viso: Pilar 
,         Fútbol 5,"        Quedan los ultimos lugares para anotarse, la inscripcion tiene el valor de $120,.  El torneo si disputa en el club nueva generacion (Quintino Bocayuva 1241, barrio de Boedo), los domingos, entre las 14 y las 18hs se realizaran los partidos, con 2 categorias, cada una con 15 equipos.  Se juega con equipo de 5 (hasta 4 cambios). Cada equipo debe abonar $175 por partido.  El torneo da comienzo el Domingo 28 de julio.  Inscripciones comunicarse a: nptorneos@gmail.com, Cel/Whatsapp: 1533051562.  Para mas información, http://nptorneos.wix.com/torneo","      Vestuarios,    Escuelita de Fútbol,    Parrilla,    Estacionamiento", Tel.: 1533051562 Web: http://nptorneos.wix.com/torneo,1 Sedes:  - Sede Boedo: Nueva Generacion 
,         Fútbol 11,,"      Vestuarios,    Bar / Restaurante,    Torneos,    Parrilla,    Estacionamiento", Tel.: 02954-453797 Web: www.ligacultural.com.ar,1 Sedes:  - Sede Santa Rosa: Complejo Liga Cultural de Fútbol 
,         Fútbol 7 y 11,,"      Vestuarios,    Bar / Restaurante,    Torneos,    Parrilla,    Estacionamiento", Tel.: 4560-3879 Web: www.ligasudeste.com.ar,1 Sedes:  - Sede Quilmes Oeste: Juventus 
,         Fútbol 5,,"      Vestuarios,    Bar / Restaurante,    Torneos,    Escuelita de Fútbol,    Cumpleaños,    Parrilla", Tel.: 03489-424201 Web: http://www.elclasico-futbol5.com.ar,1 Sedes:  - Sede Campana: Torneo El Clasico 
,         Fútbol 6,,"      Vestuarios,    Torneos,    Cumpleaños", Tel.: 02346 15-58-5737 Web: http://www.facebook.com/6vs6PapiFutbol,1 Sedes:  - Sede Chivilcoy: 6vs6 Papi Fútbol 
,         Fútbol 6,,"      Vestuarios,    Bar / Restaurante,    Escuelita de Fútbol,    Cumpleaños", Tel.: 011 - 47659136 Web: http://www.facebook.com/complejomediocampo,1 Sedes:  - Sede Villa Adelina: Torneo Complejo Mediocampo 
,         Fútbol 11,"        El Campito Club te ofrece el mejor ambiente para pasarla bien con amigos.  Contamos con seguridad privada, médico y ambulancia con presencia física en cada predio. .  El precio que se paga por partido hace que los jugadores pagen el menor precio de la ciudad con la mayor cantidad de servicios a disposición.  Somos el torneo con la mayor cantidad de premios, no porque creamos que sea lo más importante, sino porque nos gusta que los equipos se sientan premiados por su participación.  Los Campeones se miden en un gran torneo de campeones, con los mejores equipos de Córdoba, para poder estrechar relaciones con gente de otros lugares y tener experiencias nuevas.  Organizamos la mejor entrega de premios de la ciudad, pudiendo disfrutar con tus amigos de una noche única al finalizar cada torneo.  En la actualidad, más de 140 equipos participan de las distintas copas, convirtiéndose en uno de los torneos más importantes de la región.  ","      Bar / Restaurante,    Estacionamiento"," Tel.: 0221 - 155316319               Fútbol 11              El Campito Club te ofrece el mejor ambiente para pasarla bien con amigos.  Contamos con seguridad privada, médico y ambulancia con presencia física en cada predio. .  El precio que se paga por partido hace que los jugadores pagen el menor precio de la ciudad con la mayor cantidad de servicios a disposición.  Somos el torneo con la mayor cantidad de premios, no porque creamos que sea lo más importante, sino porque nos gusta que los equipos se sientan premiados por su participación.  Los Campeones se miden en un gran torneo de campeones, con los mejores equipos de Córdoba, para poder estrechar relaciones con gente de otros lugares y tener experiencias nuevas.  Organizamos la mejor entrega de premios de la ciudad, pudiendo disfrutar con tus amigos de una noche única al finalizar cada torneo.  En la actualidad, más de 140 equipos participan de las distintas copas, convirtiéndose en uno de los torneos más importantes de la región.             Bar / Restaurante,    Estacionamiento           ver todas                          ",1 Sedes:  - Sede La Plata: El Campito Club Norte 
,         Fútbol 5,"        Torneo Futbol 5 en el Complejo Insoportablemente Futbol, La Paz 945. Inicio Abril 2013. Inscripciones Abiertas.  Importantes Premios para el Campeon, Subcamepeon, Goleador, Valla Menos vencida, Fair Play, Equipo de la Fecha y mucho mas.  ","      Vestuarios,    Bar / Restaurante,    Cumpleaños"," Tel.: 03413418733               Fútbol 5              Torneo Futbol 5 en el Complejo Insoportablemente Futbol, La Paz 945. Inicio Abril 2013. Inscripciones Abiertas.  Importantes Premios para el Campeon, Subcamepeon, Goleador, Valla Menos vencida, Fair Play, Equipo de la Fecha y mucho mas.             Vestuarios,    Bar / Restaurante,    Cumpleaños           ver todas                          ",1 Sedes:  - Sede Rosario: Insoportablemente Futbol 
,         Fútbol 5,"        TORNEO DE FÚTBOL 5 SOCCER STYLE. DÍAS MARTES Y SÁBADOS.  SON TORNEOS POR FECHAS CON FASE DE CLASIFICACIÓN Y ELIMINACIÓN. LA MEJOR PREMIACIÓN,CONJUNTOS DE CAMISETAS Y SHORT, COPA Y MEDALLAS Y CENA SHOW + DISCO.","      Vestuarios,    Bar / Restaurante,    Torneos,    Cumpleaños", Tel.: 011-1537394646 / 693*4722 / 1154770416 Web: FACEBOOK: TORNEOSOCCERSTYLE,1 Sedes:  - Sede Del Viso: Fútbol km 40 Pilar 
,         Fútbol 7,"        Torneo Wingest organiza 2 torneos de gran calidad de servicios al año: uno en invierno de fútbol 5 en canchas cerradas, climatizadas de El Domo (Las Heras) y luego, entrando en primavera se desarrolla el torneo de fútbol 7 en las canchas de Al Cubo (Godoy Cruz).  En ambos torneos los cupos son muy limitados y sólo se juegan en días domingos, ya que la organización busca brindar un servicio de calidad y personalizado a todos los equipos.","      Vestuarios,    Torneos,    Estacionamiento,    Ayuda Médica ,    Parrilla"," Tel.: 0261 - 153613518               Fútbol 7              Torneo Wingest organiza 2 torneos de gran calidad de servicios al año: uno en invierno de fútbol 5 en canchas cerradas, climatizadas de El Domo (Las Heras) y luego, entrando en primavera se desarrolla el torneo de fútbol 7 en las canchas de Al Cubo (Godoy Cruz).  En ambos torneos los cupos son muy limitados y sólo se juegan en días domingos, ya que la organización busca brindar un servicio de calidad y personalizado a todos los equipos.           Vestuarios,    Torneos,    Estacionamiento,    Ayuda Médica ,    Parrilla           ver todas                          ",2 Sedes:  - Sede Mendoza: Al Cubo - Sede Mendoza: El Domo Futbol 
,         Fútbol 8,,"      Vestuarios,    Bar / Restaurante,    Torneos,    Parrilla,    Estacionamiento,    Seguridad", Tel.: 0341 – 156830695 Web:  www.copapymes.com,1 Sedes:  - Sede Rosario: Champions Pymes 
,         Fútbol 5,,"      Vestuarios,    Ayuda Médica ,    Parrilla,    Estacionamiento", Tel.: 0261-153022663/ 153531584 Web: http://www.showgolmendoza.com.ar/,1 Sedes:  - Sede Godoy Cruz: Show Gol Mendoza 
,         Fútbol 5,,"      Vestuarios,    Cumpleaños,    Parrilla", Tel.: 03471 15560060 Web: http://www.wilsonfc.com.ar/,1 Sedes:  - Sede Las Parejas: Wilson Fútbol 5 
,         Fútbol 5,,"      Vestuarios,    Bar / Restaurante,    Torneos", Tel.: 02234-15231939 Web: http://www.facebook.com/papifutbol.pichus,1 Sedes:  - Sede Mar del Plata: Papi Futbol Pichus 
,         Fútbol 5,,"      Torneos,    Escuelita de Fútbol,    Cumpleaños,    Parrilla", Tel.: 0261-155167153 Web: http://www.facebook.com/pages/Estadio-Unico-Los-Corralitos/347070290298,1 Sedes:  - Sede Corralitos: Estadio Unico Los Corralitos 
,         Fútbol 5,        arranca en marzo del 2013.  Facebook: Torneo Il Capitano,"      Vestuarios,    Bar / Restaurante,    Torneos,    Escuelita de Fútbol,    Ayuda Médica ,    Cumpleaños,    Colegios,    Parrilla"," Tel.: 1535082824               Fútbol 5              arranca en marzo del 2013.  Facebook: Torneo Il Capitano           Vestuarios,    Bar / Restaurante,    Torneos,    Escuelita de Fútbol,    Ayuda Médica ,    Cumpleaños,    Colegios,    Parrilla           ver todas                          ",1 Sedes:  - Sede Villa Luro: Nueva Generación 
,         Fútbol 5,        Contacto: Eduardo   Fútbol 5 Masculino y Femenino.Todas las edades.,"      Vestuarios,    Bar / Restaurante,    Torneos,    Ayuda Médica ,    Cumpleaños,    Colegios,    Parrilla,    Estacionamiento", Tel.: 1567182751 Web: www.metyc.com.ar,1 Sedes:  - Sede Recoleta: El Parque Fútbol 
,         Fútbol 5,"        Nextel: ID:631*1830   Torneo fútbol femenino y categoría libres , juveniles.  ","      Vestuarios,    Bar / Restaurante,    Torneos,    Escuelita de Fútbol,    Ayuda Médica ,    Cumpleaños", Tel.: 156952-5555 Web: https://www.facebook.com/torneofulbito,1 Sedes:  - Sede Boedo: Federación Caballito 
,         Fútbol 5,,"      Vestuarios,    Escuelita de Fútbol,    Cumpleaños,    Colegios,    Ayuda Médica ,    Torneos,    Bar / Restaurante", Tel.: 5-62110445 / 15-30021160 Web: www.torneosfutbolytoque.com.ar,1 Sedes:  - Sede Almagro: Bethania 
,         Fútbol 5,"        Doble 5 es un nuevo espacio excepcional donde encontrarnos con los amigos para jugar, ver y transpirar fútbol.   Donde disfrutamos del talento y del esfuerzo, suscribimos a la competencia sana y al fair play.","      Bar / Restaurante,    Torneos,    Escuelita de Fútbol,    Cumpleaños,    Parrilla", Tel.: 03489- 446539 / 15 54 76 88 Web: http://doble-5.com,1 Sedes:  - Sede Campana: Doble 5 
,         Fútbol 5,,"      Torneos,    Escuelita de Fútbol,    Cumpleaños", Tel.: 0249 443-3804 Web: http://www.facebook.com/pages/EL-POTRERO-FUTBOL-5-TANDIL/139778089374507,1 Sedes:  - Sede Tandil: El Potrero Futbol 5 Tandil 
,         Fútbol 8,"        Liga de Fútbol 8 en Rosario. Se juega los días Sábados a partir de las 13 Hs. en el camping de confiteros y pasteleros.    ""FUTBOL, AMIGOS Y JUEGO LIMPIO, SIN DEJAR DE COMPETIR""","      Vestuarios,    Bar / Restaurante,    Cumpleaños,    Parrilla,    Estacionamiento,    Seguridad"," Tel.:  0341 - 155904391               Fútbol 8              Liga de Fútbol 8 en Rosario. Se juega los días Sábados a partir de las 13 Hs. en el camping de confiteros y pasteleros.    ""FUTBOL, AMIGOS Y JUEGO LIMPIO, SIN DEJAR DE COMPETIR""           Vestuarios,    Bar / Restaurante,    Cumpleaños,    Parrilla,    Estacionamiento,    Seguridad           ver todas                          ",
,         Fútbol 5,        Contacto.: Augusto  ,"      Vestuarios,    Bar / Restaurante,    Torneos,    Escuelita de Fútbol,    Cumpleaños,    Estacionamiento,    Seguridad", Tel.: 1535235438 / 1540239950  Web: http://www.facebook.com/torneofutbol.burritomartinez,"1 Sedes:  - Sede Ramos Mejia: Complejo fútbol 5 ""Burrito"" Martinez "
,         Fútbol 5 y 7,"        El mejor Torneo de Fútbol 5 Amateur Masculino y Femenino en Capital Federal!  Canchas increíbles, Árbitros Federados, Estadísticas y resultados online, Estacionamiento privado, muchas fotos y videos de los partidos, los mejores premios,sponsors sorteos y beneficios!","      Vestuarios,    Bar / Restaurante,    Torneos,    Ayuda Médica ,    Cumpleaños,    Parrilla,    Estacionamiento,    Seguridad,    Salón de Eventos"," Tel.: 11 5342 8205               Fútbol 5 y 7              El mejor Torneo de Fútbol 5 Amateur Masculino y Femenino en Capital Federal!  Canchas increíbles, Árbitros Federados, Estadísticas y resultados online, Estacionamiento privado, muchas fotos y videos de los partidos, los mejores premios,sponsors sorteos y beneficios!           Vestuarios,    Bar / Restaurante,    Torneos,    Ayuda Médica ,    Cumpleaños,    Parrilla,    Estacionamiento,    Seguridad,    Salón de Eventos           ver todas                          ","2 Sedes:  - Sede Palermo: Palermo Futbol - Sede Del Viso: Pilar, Del viso "
,         Fútbol 5,,, Tel.: 0298 15-356-0836 Web: http://www.facebook.com/pages/Calchetto-futbol-5/111718828884731,1 Sedes:  - Sede Adolfo Gonzáles Chaves: Calchetto futbol 5 
,         Fútbol 11,"        Realizamos torneos para estudiantes, gremios etc.","      Vestuarios,    Estacionamiento"," Tel.: 011 - 1563534555               Fútbol 11              Realizamos torneos para estudiantes, gremios etc.           Vestuarios,    Estacionamiento           ver todas                          ",1 Sedes:  - Sede Berazategui: Complejo Ranelagh 
,         Fútbol 5,"        Organizamos torneos de fútbol, Alternativas masculino y femenino.","      Bar / Restaurante,    Vestuarios,    Torneos,    Escuelita de Fútbol,    Ayuda Médica ,    Cumpleaños,    Colegios,    Parrilla,    ",,1 Sedes:  - Sede Nuñez: Fútbol Urbano 
,         Fútbol 5 y 9,,"      Vestuarios,    Bar / Restaurante,    Escuelita de Fútbol,    Cumpleaños,    Estacionamiento", Tel.: 0266-154369709 Web: www.facebook.com/Tiempo-Extra-Futbol,1 Sedes:  - Sede Villa Elena: Tiempo Extra Fútbol 
,         Fútbol 5 y 8,,"      Vestuarios,    Bar / Restaurante,    Torneos,    Escuelita de Fútbol,    Cumpleaños,    Parrilla,    Estacionamiento", Tel.: 0351-6644868 Web: www.facebook.com/canchas.larecta.5,1 Sedes:  - Sede Córdoba: Canchas La Recta 
,         Fútbol 5 y 6,,"      Vestuarios,    Torneos,    Escuelita de Fútbol,    Parrilla,    Estacionamiento", Tel.: 0261 - 155368373 / 155326088 Web: http://www.facebook.com/futbol.enlibertad,1 Sedes:  - Sede Godoy Cruz: Futbol En Libertad 
,         Fútbol 5 y 7,,"      Vestuarios,    Torneos", Tel.: 0299-4778719 / 154093650 Web: http://www.facebook.com/canchas.cipolletti,1 Sedes:  - Sede Cipolletti: Planeta Futbol 
,         Fútbol 11,,"      Torneos,    Estacionamiento", Tel.: 0381 - 154417054/156335440/156971499 Web: https://www.facebook.com/lomas.imbaud,1 Sedes:  - Sede Yerba Buena: Lomas Imbaud 
,         Fútbol 5,        2 torneos semestrales por año con división A y B con 20 equipos cada uno y una copa champions al final del año con primero y segundo de cada torneo la cual se juega en un solo día.,"      Vestuarios,    Bar / Restaurante,    Torneos,    Escuelita de Fútbol,    Ayuda Médica ,    Cumpleaños,    Parrilla"," Tel.: 1566722197               Fútbol 5              2 torneos semestrales por año con división A y B con 20 equipos cada uno y una copa champions al final del año con primero y segundo de cada torneo la cual se juega en un solo día.           Vestuarios,    Bar / Restaurante,    Torneos,    Escuelita de Fútbol,    Ayuda Médica ,    Cumpleaños,    Parrilla           ver todas                          ",1 Sedes:  - Sede San Cristobal: Nueva Generación 
,         Fútbol 5,,"      Vestuarios,    Bar / Restaurante,    Torneos,    Escuelita de Fútbol,    Cumpleaños",,1 Sedes:  - Sede Liniers: Centro Versailles 
,         Fútbol 5,,"      Vestuarios,    Bar / Restaurante,    Torneos,    Escuelita de Fútbol,    Ayuda Médica ,    Cumpleaños", Tel.: 0344615509106 Web: http://www.clubmanchego.com.ar,1 Sedes:  - Sede Gualeguaychu: Torneo Amistad Club Manchego 
,         Fútbol 5,        Torneos de futbol 5 en cesped sintetico,"      Vestuarios,    Cumpleaños,    Parrilla", Tel.: 0298-154342543 Web: http://www.facebook.com/profile.php?id=100002063212402,1 Sedes:  - Sede Gral. Roca: Torneo Campeones 
,         Fútbol 7 y 8,,"      Vestuarios,    Ayuda Médica ,    Cumpleaños,    Parrilla,    Estacionamiento"," Tel.: 0299-4964797               Fútbol 7 y 8            Vestuarios,    Ayuda Médica ,    Cumpleaños,    Parrilla,    Estacionamiento           ver todas                          ",1 Sedes:  - Sede Plaza Huincul: Club Silam 
,         Fútbol 7 y 11,,"      Vestuarios,    Bar / Restaurante,    Torneos,    Cumpleaños", Tel.: 15-3482-1215 / 15-5387-1818 Web: http://www.pasioneventos.com.ar,1 Sedes:  - Sede Del Viso: Pilar 
,         Fútbol 5,"        Quedan los ultimos lugares para anotarse, la inscripcion tiene el valor de $120,.  El torneo si disputa en el club nueva generacion (Quintino Bocayuva 1241, barrio de Boedo), los domingos, entre las 14 y las 18hs se realizaran los partidos, con 2 categorias, cada una con 15 equipos.  Se juega con equipo de 5 (hasta 4 cambios). Cada equipo debe abonar $175 por partido.  El torneo da comienzo el Domingo 28 de julio.  Inscripciones comunicarse a: nptorneos@gmail.com, Cel/Whatsapp: 1533051562.  Para mas información, http://nptorneos.wix.com/torneo","      Vestuarios,    Escuelita de Fútbol,    Parrilla,    Estacionamiento", Tel.: 1533051562 Web: http://nptorneos.wix.com/torneo,1 Sedes:  - Sede Boedo: Nueva Generacion 
,         Fútbol 11,,"      Vestuarios,    Bar / Restaurante,    Torneos,    Parrilla,    Estacionamiento", Tel.: 02954-453797 Web: www.ligacultural.com.ar,1 Sedes:  - Sede Santa Rosa: Complejo Liga Cultural de Fútbol 
,         Fútbol 7 y 11,,"      Vestuarios,    Bar / Restaurante,    Torneos,    Parrilla,    Estacionamiento", Tel.: 4560-3879 Web: www.ligasudeste.com.ar,1 Sedes:  - Sede Quilmes Oeste: Juventus 
,         Fútbol 5,,"      Vestuarios,    Bar / Restaurante,    Torneos,    Escuelita de Fútbol,    Cumpleaños,    Parrilla", Tel.: 03489-424201 Web: http://www.elclasico-futbol5.com.ar,1 Sedes:  - Sede Campana: Torneo El Clasico 
